,,MAP_Score,P@5_Score,NDCG_Score
vsm,100,0.0022,0.0,0.0462
vsm,101,0.0,0.0,0.0
vsm,102,0.0,0.0,0.0
vsm,103,0.0,0.0,0.0
vsm,104,0.0,0.0,0.0
vsm,105,0.0241,0.0,0.1921
vsm,106,0.0,0.0,0.0
vsm,107,0.0,0.0,0.0
vsm,108,0.0,0.0,0.0
vsm,109,0.0,0.0,0.0
vsm,110,0.0,0.0,0.0
vsm,111,0.0,0.0,0.0
vsm,112,0.0,0.0,0.0
vsm,113,0.0,0.0,0.0
vsm,114,0.0,0.0,0.0
vsm,116,0.0,0.0,0.0
vsm,118,0.0,0.0,0.0
vsm,119,0.0,0.0,0.0
vsm,120,0.0,0.0,0.0
vsm,121,0.0195,0.0,0.1209
vsm,122,0.0,0.0,0.0
vsm,123,0.0,0.0,0.0
vsm,126,0.0,0.0,0.0
vsm,128,0.0,0.0,0.0
vsm,130,0.0,0.0,0.0
vsm,131,0.0,0.0,0.0
vsm,132,0.0,0.0,0.0
vsm,133,0.0,0.0,0.0
vsm,135,0.0,0.0,0.0
vsm,136,0.0,0.0,0.0
vsm,137,0.0,0.0,0.0
vsm,138,0.0,0.0,0.0
vsm,139,0.0,0.0,0.0
vsm,140,0.0029,0.0,0.0187
vsm,141,0.0,0.0,0.0
vsm,142,0.0,0.0,0.0
vsm,143,0.0,0.0,0.0
vsm,145,0.0,0.0,0.0
vsm,146,0.0,0.0,0.0
vsm,147,0.0,0.0,0.0
vsm,148,0.0,0.0,0.0
vsm,149,0.0444,0.0,0.2356
vsm,150,0.0161,0.0,0.1226
vsm,152,0.0,0.0,0.0
vsm,153,0.0,0.0,0.0
vsm,154,0.0,0.0,0.0
vsm,155,0.0,0.0,0.0
vsm,156,0.0,0.0,0.0
vsm,157,0.0003,0.0,0.0141
vsm,158,0.0,0.0,0.0
vsm,160,0.0,0.0,0.0
vsm,161,0.0,0.0,0.0
vsm,163,0.0,0.0,0.0
vsm,164,0.0017,0.0,0.0368
vsm,165,0.0,0.0,0.0
vsm,167,0.0,0.0,0.0
vsm,168,0.0,0.0,0.0
vsm,169,0.0,0.0,0.0
vsm,170,0.0,0.0,0.0
vsm,171,0.0333,0.0,0.0816
vsm,173,0.0,0.0,0.0
vsm,175,0.0,0.0,0.0
vsm,176,0.0015,0.0,0.0169
vsm,177,0.0,0.0,0.0
vsm,181,0.0,0.0,0.0
vsm,182,0.0,0.0,0.0
vsm,183,0.001,0.0,0.0365
vsm,184,0.0,0.0,0.0
vsm,187,0.0,0.0,0.0
vsm,189,0.0067,0.0,0.069
vsm,190,0.0,0.0,0.0
vsm,196,0.0398,0.0,0.1929
vsm,200,0.0,0.0,0.0
vsm,201,0.0,0.0,0.0
vsm,202,0.0,0.0,0.0
vsm,203,0.0031,0.0,0.0426
vsm,204,0.0,0.0,0.0
vsm,205,0.0,0.0,0.0
